SALTY04517	traQ
SALTY04514	traN
SALTY04481	PSLT056
SALTY04480	samA
SALTY04478	parB
SALTY04477	parA
SALTY04476	samB
SALTY04475	PSLT050
SALTY04473	tlpA
SALTY04472	PSLT047
SALTY04471	PSLT046
SALTY04467	PSLT042
SALTY04466	spvR
SALTY04464	spvB
SALTY04463	spvC
SALTY04461	PSLT036
SALTY04460	spvD
SALTY04459	PSLT034
SALTY04450	PSLT025
SALTY04447	PSLT020
SALTY04446	pefB
SALTY04445	pefA
SALTY04440	pefI
SALTY04438	srgA
SALTY04437	srgB
SALTY04436	rcK
SALTY04431	repC
SALTY04429	PSLT001
SALTY04426	arcA
SALTY04425	STM4597
SALTY04424	STM4596
SALTY04423	STM4595
SALTY04422	sthA
SALTY04417	creC
SALTY04416	creB
SALTY04414	rob
SALTY04413	gpmB
SALTY04412	yjjX
SALTY04411	trpR
SALTY04410	slt
SALTY04409	yjjK
SALTY04408	nadR
SALTY04407	radA
SALTY04406	serB
SALTY04404	lplA
SALTY04403	STM4575
SALTY04401	stjC
SALTY04398	deoD
SALTY04397	deoB
SALTY04396	deoA
SALTY04395	deoC
SALTY04394	yjjI
SALTY04393	yjjW
SALTY04389	osmY
SALTY04387	yjjG
SALTY04386	rimI
SALTY04385	holD
SALTY04383	STM4552
SALTY04382	STM4551
SALTY04381	fhuF
SALTY04379	bglJ
SALTY04378	yjjQ
SALTY04377	yjjP
SALTY04376	STM4545
SALTY04375	dnaT
SALTY04374	dnaC
SALTY04366	STM4535
SALTY04365	STM4534
SALTY04364	tsr
SALTY04363	yjiY
SALTY04362	yjiX
SALTY04361	yjiA
SALTY04356	hsdM
SALTY04355	hsdS
SALTY04354	yjiW
SALTY04349	STM4518
SALTY04348	yjiO
SALTY04345	yjiH
SALTY04344	yjiG
SALTY04343	iadA
SALTY04342	yjiE
SALTY04340	STM4509
SALTY04339	trpS2
SALTY04338	uxuR
SALTY04337	STM4506
SALTY04335	STM4504
SALTY04333	STM4502
SALTY04332	STM4501
SALTY04330	yeeN
SALTY04329	STM4498
SALTY04328	STM4497
SALTY04327	STM4496
SALTY04326	STM4495
SALTY04325	STM4494
SALTY04324	STM4493
SALTY04323	STM4492
SALTY04322	STM4491
SALTY04319	STM4488
SALTY04317	idnK
SALTY04316	idnD
SALTY04315	idnO
SALTY04314	idnT
SALTY04313	idnR
SALTY04311	yjgP
SALTY04309	pepA
SALTY04308	holC
SALTY04307	valS
SALTY04306	yjgN
SALTY04305	yjgM
SALTY04302	yjgD
SALTY04301	argI
SALTY04300	yjgK
SALTY04299	STM4467
SALTY04298	STM4466
SALTY04297	STM4465
SALTY04292	pyrB
SALTY04291	pyrI
SALTY04290	yjgF
SALTY04288	mgtA
SALTY04287	treR
SALTY04286	treC
SALTY04285	nrdD
SALTY04284	nrdG
SALTY04278	STM4445
SALTY04273	STM4440
SALTY04271	pmbA
SALTY04270	yjgA
SALTY04269	STM4436
SALTY04268	STM4435
SALTY04266	STM4433
SALTY04260	STM4427
SALTY04258	STM4425
SALTY04257	STM4424
SALTY04256	STM4423
SALTY04254	STM4421
SALTY04253	STM4420
SALTY04251	STM4418
SALTY04249	mpl
SALTY04248	fbp
SALTY04247	ppa
SALTY04246	STM4413
SALTY04243	ytfN
SALTY04242	ytfM
SALTY04241	msrA
SALTY04240	ytfL
SALTY04239	ytfK
SALTY04238	ytfJ
SALTY04236	cpdB
SALTY04234	ytfG
SALTY04232	ytfE
SALTY04231	cycA
SALTY04230	fklB
SALTY04229	ytfB
SALTY04227	rplI
SALTY04226	STM4393
SALTY04225	priB
SALTY04224	rpsF
SALTY04221	sgaE
SALTY04220	sgaU
SALTY04219	sgaH
SALTY04218	ptxA
SALTY04217	sgaB
SALTY04216	sgaT
SALTY04215	yjfR
SALTY04214	yjfQ
SALTY04211	yjfN
SALTY04210	aidB
SALTY04203	yjfI
SALTY04202	yjfH
SALTY04200	yjeB
SALTY04199	purA
SALTY04197	hflC
SALTY04195	hflX
SALTY04194	hfq
SALTY04193	miaA
SALTY04192	mutL
SALTY04191	amiB
SALTY04190	yjeE
SALTY04189	yjeF
SALTY04186	orn
SALTY04185	yjeQ
SALTY04184	psd
SALTY04182	yjeO
SALTY04181	yjeM
SALTY04180	yjeA
SALTY04179	frdA
SALTY04178	frdB
SALTY04177	frdC
SALTY04176	frdD
SALTY04170	efp
SALTY04169	yjeK
SALTY04168	yjeJ
SALTY04166	mopA
SALTY04165	mopB
SALTY04164	yjeH
SALTY04162	aspA
SALTY04161	dcuA
SALTY04160	cutA
SALTY04159	dsbD
SALTY04158	yjdC
SALTY04156	phoN
SALTY04152	STM4315
SALTY04151	STM4314
SALTY04148	STM4311
SALTY04147	STM4310
SALTY04146	STM4309
SALTY04144	STM4307
SALTY04143	STM4306
